id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,year,classLabel
<23985609.1075855692470.JavaMail.evans@thyme>,0.3249503672,0.1617871821,0.0,0.0,0.12767058609999998,0.0,0.1475716233,0.0,0.2261134088,0.0,2000,1
<21889760.1075855692557.JavaMail.evans@thyme>,0.4362912178,0.0,0.0735347942,0.0,0.1688685417,0.0,0.0,0.0,0.30254909399999996,0.0,2000,1
<6350401.1075855727827.JavaMail.evans@thyme>,0.624433279,0.0,0.0,0.0,0.0,0.0,0.1493444294,0.1893741786,0.0,0.0,2001,1
<21486271.1075855728009.JavaMail.evans@thyme>,0.432911545,0.0,0.20724830030000002,0.0,0.1700634211,0.0,0.0,0.0,0.1436133981,0.0,2001,1
<13911667.1075855728078.JavaMail.evans@thyme>,0.2957060039,0.10827414689999999,0.0,0.0,0.147830829,0.0,0.1470237225,0.1039591581,0.1914083362,0.0,2001,1
<11509085.1075855728144.JavaMail.evans@thyme>,0.29310068489999996,0.0,0.20243522519999999,0.124903284,0.0,0.0,0.0,0.12684676050000002,0.239890486,0.0,2001,1
<292960.1075855728187.JavaMail.evans@thyme>,0.39924338460000003,0.09624546769999999,0.07701230049999999,0.0,0.0,0.0268926695,0.22169843320000002,0.0730652139,0.1005785093,0.0,2001,1
<18949220.1075855728276.JavaMail.evans@thyme>,0.47496080399999996,0.0,0.048387315099999995,0.0,0.058027837400000004,0.08718284220000001,0.0,0.0,0.3106026948,0.0,2001,1
<14439969.1075855728298.JavaMail.evans@thyme>,0.2872025669,0.2227504849,0.0,0.0,0.0,0.0,0.3048920035,0.0,0.1601513475,0.0,2001,1
<26913174.1075855728319.JavaMail.evans@thyme>,0.21985237300000002,0.1045496091,0.045618817199999995,0.0,0.1692131013,0.0261833444,0.0,0.0,0.4264180958,0.0,2001,1
<32350375.1075855728384.JavaMail.evans@thyme>,0.2816342413,0.039631512,0.10063747320000001,0.04929370809999999,0.24406100809999998,0.0,0.0881206319,0.0,0.192566663,0.0,2001,1
<30301161.1075855728406.JavaMail.evans@thyme>,0.3152582943,0.047023929699999995,0.0998359099,0.0781119466,0.0995738804,0.0,0.1888967752,0.0,0.16857151690000002,0.0,2001,1
<33454039.1075855728495.JavaMail.evans@thyme>,0.6980300545999999,0.0,0.0739578977,0.0,0.0,0.0,0.0,0.0738772228,0.1446090341,0.0,2001,1
<23977970.1075855728516.JavaMail.evans@thyme>,0.5307876468,0.076193355,0.2987743914,0.0,0.0609045774,0.0,0.0,0.0,0.0,0.0,2001,1
<9024687.1075855728538.JavaMail.evans@thyme>,0.3785161078,0.0,0.0,0.0,0.2836687863,0.0,0.0,0.1174459457,0.1930921227,0.0,2001,1
<22832080.1075855728690.JavaMail.evans@thyme>,0.5698261857,0.0,0.0549121238,0.0780195966,0.26996305579999996,0.0,0.0,0.0,0.0,0.0,2001,1
<7192995.1075855728733.JavaMail.evans@thyme>,0.4345709085,0.0,0.17728392780000002,0.0,0.1513648182,0.0,0.0,0.1096051335,0.1033645049,0.0,2001,1
<10523700.1075855728861.JavaMail.evans@thyme>,0.0,0.0,0.35464587810000003,0.0,0.274456352,0.0,0.0,0.0,0.31255477670000004,0.0,2001,1
